C T 0 1 2 3 0.0 1.0 2.0 3.0 G P
96.0 50.0 105 45 0 0 0.7 0.3 0.0 0.0 0 0.7
95.0 50.0 133 17 0 0 0.88 0.11 0.0 0.0 0 0.88
94.0 50.0 129 21 0 0 0.86 0.14 0.0 0.0 0 0.86
93.0 50.0 112 38 0 0 0.74 0.25 0.0 0.0 0 0.74
92.0 50.0 82 68 0 0 0.54 0.45 0.0 0.0 0 0.54
90.0 50.0 62 88 0 0 0.41 0.58 0.0 0.0 1 0.58
89.0 50.0 50 100 0 0 0.33 0.66 0.0 0.0 1 0.66
88.0 50.0 46 104 0 0 0.30 0.69 0.0 0.0 1 0.69
87.0 50.0 26 124 0 0 0.17 0.82 0.0 0.0 1 0.82
86.0 50.0 12 138 0 0 0.08 0.92 0.0 0.0 1 0.92
85.0 50.0 10 140 0 0 0.06 0.93 0.0 0.0 1 0.93
84.0 50.0 21 129 0 0 0.14 0.86 0.0 0.0 1 0.86
83.0 50.0 8 142 0 0 0.05 0.94 0.0 0.0 1 0.94
82.0 50.0 2 148 0 0 0.01 0.98 0.0 0.0 1 0.98
81.0 50.0 5 145 0 0 0.03 0.96 0.0 0.0 1 0.96
80.0 50.0 4 146 0 0 0.02 0.97 0.0 0.0 1 0.97
79.0 50.0 5 145 0 0 0.03 0.96 0.0 0.0 1 0.96
99.0 55.0 96 54 0 0 0.64 0.36 0.0 0.0 0 0.64
98.0 55.0 110 40 0 0 0.73 0.26 0.0 0.0 0 0.73
97.0 55.0 101 49 0 0 0.67 0.32 0.0 0.0 0 0.67
96.0 55.0 119 31 0 0 0.79 0.20 0.0 0.0 0 0.79
95.0 55.0 72 78 0 0 0.48 0.52 0.0 0.0 1 0.52
94.0 55.0 68 82 0 0 0.45 0.54 0.0 0.0 1 0.54
93.0 55.0 60 90 0 0 0.4 0.6 0.0 0.0 1 0.6
92.0 55.0 56 94 0 0 0.37 0.62 0.0 0.0 1 0.62
90.0 55.0 44 106 0 0 0.29 0.70 0.0 0.0 1 0.70
89.0 55.0 55 95 0 0 0.36 0.63 0.0 0.0 1 0.63
88.0 55.0 42 108 0 0 0.28 0.72 0.0 0.0 1 0.72
87.0 55.0 30 120 0 0 0.2 0.8 0.0 0.0 1 0.8
86.0 55.0 14 136 0 0 0.09 0.90 0.0 0.0 1 0.90
85.0 55.0 31 119 0 0 0.20 0.79 0.0 0.0 1 0.79
84.0 55.0 14 136 0 0 0.09 0.90 0.0 0.0 1 0.90
83.0 55.0 6 144 0 0 0.04 0.96 0.0 0.0 1 0.96
82.0 55.0 2 148 0 0 0.01 0.98 0.0 0.0 1 0.98
81.0 55.0 3 147 0 0 0.02 0.98 0.0 0.0 1 0.98
80.0 55.0 1 149 0 0 0.00 0.99 0.0 0.0 1 0.99
79.0 55.0 0 150 0 0 0.0 1.0 0.0 0.0 1 1.0
99.0 62.0 77 73 0 0 0.51 0.48 0.0 0.0 0 0.51
98.0 62.0 65 85 0 0 0.43 0.56 0.0 0.0 1 0.56
97.0 62.0 67 83 0 0 0.44 0.55 0.0 0.0 1 0.55
96.0 62.0 63 87 0 0 0.42 0.58 0.0 0.0 1 0.58
95.0 62.0 68 82 0 0 0.45 0.54 0.0 0.0 1 0.54
94.0 62.0 56 94 0 0 0.37 0.62 0.0 0.0 1 0.62
93.0 62.0 60 90 0 0 0.4 0.6 0.0 0.0 1 0.6
92.0 62.0 50 100 0 0 0.33 0.66 0.0 0.0 1 0.66
90.0 62.0 46 104 0 0 0.30 0.69 0.0 0.0 1 0.69
89.0 62.0 40 110 0 0 0.26 0.73 0.0 0.0 1 0.73
88.0 62.0 44 106 0 0 0.29 0.70 0.0 0.0 1 0.70
87.0 62.0 17 133 0 0 0.11 0.88 0.0 0.0 1 0.88
86.0 62.0 6 144 0 0 0.04 0.96 0.0 0.0 1 0.96
