C T 0 1 2 3 0.0 1.0 2.0 3.0 G P
96.0 50.0 125 16 9 0 0.83 0.10 0.06 0.0 0 0.83
95.0 50.0 131 17 2 0 0.87 0.11 0.01 0.0 0 0.87
94.0 50.0 108 40 2 0 0.72 0.26 0.01 0.0 0 0.72
93.0 50.0 100 46 4 0 0.66 0.30 0.02 0.0 0 0.66
92.0 50.0 75 63 12 0 0.5 0.42 0.08 0.0 0 0.5
90.0 50.0 42 42 66 0 0.28 0.28 0.44 0.0 2 0.44
89.0 50.0 4 122 24 0 0.02 0.81 0.16 0.0 1 0.81
88.0 50.0 3 116 31 0 0.02 0.77 0.20 0.0 1 0.77
87.0 50.0 3 95 52 0 0.02 0.63 0.34 0.0 1 0.63
86.0 50.0 1 33 116 0 0.00 0.22 0.77 0.0 2 0.77
85.0 50.0 1 28 121 0 0.00 0.18 0.80 0.0 2 0.80
84.0 50.0 0 20 130 0 0.0 0.13 0.86 0.0 2 0.86
83.0 50.0 0 16 134 0 0.0 0.10 0.89 0.0 2 0.89
82.0 50.0 0 21 129 0 0.0 0.14 0.86 0.0 2 0.86
81.0 50.0 0 19 131 0 0.0 0.12 0.87 0.0 2 0.87
80.0 50.0 0 17 133 0 0.0 0.11 0.88 0.0 2 0.88
79.0 50.0 0 15 135 0 0.0 0.1 0.9 0.0 2 0.9
99.0 55.0 119 14 17 0 0.79 0.09 0.11 0.0 0 0.79
98.0 55.0 121 17 12 0 0.80 0.11 0.08 0.0 0 0.80
97.0 55.0 112 25 13 0 0.74 0.16 0.08 0.0 0 0.74
96.0 55.0 107 34 9 0 0.71 0.22 0.06 0.0 0 0.71
95.0 55.0 26 120 4 0 0.17 0.8 0.02 0.0 1 0.8
94.0 55.0 25 120 5 0 0.16 0.8 0.03 0.0 1 0.8
93.0 55.0 16 127 7 0 0.10 0.84 0.04 0.0 1 0.84
92.0 55.0 5 129 16 0 0.03 0.86 0.10 0.0 1 0.86
90.0 55.0 2 64 84 0 0.01 0.42 0.56 0.0 2 0.56
89.0 55.0 5 129 16 0 0.03 0.86 0.10 0.0 1 0.86
88.0 55.0 5 125 20 0 0.03 0.83 0.13 0.0 1 0.83
87.0 55.0 2 28 120 0 0.01 0.18 0.8 0.0 2 0.8
