C T 0 1 2 3 0.0 1.0 2.0 3.0 G P
96.0 50.0 103 47 0 0 0.68 0.31 0.0 0.0 0 0.68
95.0 50.0 85 65 0 0 0.56 0.43 0.0 0.0 0 0.56
94.0 50.0 76 74 0 0 0.50 0.49 0.0 0.0 0 0.50
93.0 50.0 71 79 0 0 0.47 0.52 0.0 0.0 1 0.52
92.0 50.0 60 90 0 0 0.4 0.6 0.0 0.0 1 0.6
90.0 50.0 62 88 0 0 0.41 0.58 0.0 0.0 1 0.58
89.0 50.0 37 113 0 0 0.24 0.75 0.0 0.0 1 0.75
88.0 50.0 36 114 0 0 0.24 0.76 0.0 0.0 1 0.76
87.0 50.0 31 119 0 0 0.20 0.79 0.0 0.0 1 0.79
86.0 50.0 24 126 0 0 0.16 0.84 0.0 0.0 1 0.84
85.0 50.0 27 123 0 0 0.18 0.82 0.0 0.0 1 0.82
84.0 50.0 29 121 0 0 0.19 0.80 0.0 0.0 1 0.80
83.0 50.0 17 133 0 0 0.11 0.88 0.0 0.0 1 0.88
82.0 50.0 11 139 0 0 0.07 0.92 0.0 0.0 1 0.92
81.0 50.0 13 137 0 0 0.08 0.91 0.0 0.0 1 0.91
80.0 50.0 16 134 0 0 0.10 0.89 0.0 0.0 1 0.89
79.0 50.0 16 134 0 0 0.10 0.89 0.0 0.0 1 0.89
99.0 55.0 105 45 0 0 0.7 0.3 0.0 0.0 0 0.7
98.0 55.0 84 66 0 0 0.56 0.44 0.0 0.0 0 0.56
97.0 55.0 80 70 0 0 0.53 0.46 0.0 0.0 0 0.53
96.0 55.0 78 72 0 0 0.52 0.48 0.0 0.0 0 0.52
95.0 55.0 77 73 0 0 0.51 0.48 0.0 0.0 0 0.51
94.0 55.0 58 92 0 0 0.38 0.61 0.0 0.0 1 0.61
93.0 55.0 50 100 0 0 0.33 0.66 0.0 0.0 1 0.66
92.0 55.0 41 109 0 0 0.27 0.72 0.0 0.0 1 0.72
90.0 55.0 42 108 0 0 0.28 0.72 0.0 0.0 1 0.72
89.0 55.0 49 101 0 0 0.32 0.67 0.0 0.0 1 0.67
88.0 55.0 32 118 0 0 0.21 0.78 0.0 0.0 1 0.78
87.0 55.0 31 119 0 0 0.20 0.79 0.0 0.0 1 0.79
86.0 55.0 27 123 0 0 0.18 0.82 0.0 0.0 1 0.82
85.0 55.0 33 117 0 0 0.22 0.78 0.0 0.0 1 0.78
84.0 55.0 23 127 0 0 0.15 0.84 0.0 0.0 1 0.84
83.0 55.0 20 130 0 0 0.13 0.86 0.0 0.0 1 0.86
82.0 55.0 14 136 0 0 0.09 0.90 0.0 0.0 1 0.90
81.0 55.0 8 142 0 0 0.05 0.94 0.0 0.0 1 0.94
80.0 55.0 12 138 0 0 0.08 0.92 0.0 0.0 1 0.92
79.0 55.0 18 132 0 0 0.12 0.88 0.0 0.0 1 0.88
99.0 62.0 66 84 0 0 0.44 0.56 0.0 0.0 1 0.56
98.0 62.0 63 87 0 0 0.42 0.58 0.0 0.0 1 0.58
97.0 62.0 57 93 0 0 0.38 0.62 0.0 0.0 1 0.62
96.0 62.0 54 96 0 0 0.36 0.64 0.0 0.0 1 0.64
95.0 62.0 58 92 0 0 0.38 0.61 0.0 0.0 1 0.61
94.0 62.0 48 102 0 0 0.32 0.68 0.0 0.0 1 0.68
93.0 62.0 49 101 0 0 0.32 0.67 0.0 0.0 1 0.67
92.0 62.0 41 109 0 0 0.27 0.72 0.0 0.0 1 0.72
90.0 62.0 36 114 0 0 0.24 0.76 0.0 0.0 1 0.76
89.0 62.0 32 118 0 0 0.21 0.78 0.0 0.0 1 0.78
88.0 62.0 35 115 0 0 0.23 0.76 0.0 0.0 1 0.76
87.0 62.0 28 122 0 0 0.18 0.81 0.0 0.0 1 0.81
86.0 62.0 20 130 0 0 0.13 0.86 0.0 0.0 1 0.86
85.0 62.0 26 124 0 0 0.17 0.82 0.0 0.0 1 0.82
84.0 62.0 19 131 0 0 0.12 0.87 0.0 0.0 1 0.87
83.0 62.0 13 137 0 0 0.08 0.91 0.0 0.0 1 0.91
82.0 62.0 11 139 0 0 0.07 0.92 0.0 0.0 1 0.92
81.0 62.0 14 136 0 0 0.09 0.90 0.0 0.0 1 0.90
80.0 62.0 15 135 0 0 0.1 0.9 0.0 0.0 1 0.9
79.0 62.0 13 137 0 0 0.08 0.91 0.0 0.0 1 0.91
99.0 68.0 68 82 0 0 0.45 0.54 0.0 0.0 1 0.54
98.0 68.0 61 89 0 0 0.40 0.59 0.0 0.0 1 0.59
97.0 68.0 59 91 0 0 0.39 0.60 0.0 0.0 1 0.60
96.0 68.0 60 90 0 0 0.4 0.6 0.0 0.0 1 0.6
95.0 68.0 55 95 0 0 0.36 0.63 0.0 0.0 1 0.63
94.0 68.0 54 96 0 0 0.36 0.64 0.0 0.0 1 0.64
93.0 68.0 44 106 0 0 0.29 0.70 0.0 0.0 1 0.70
92.0 68.0 35 115 0 0 0.23 0.76 0.0 0.0 1 0.76
90.0 68.0 34 116 0 0 0.22 0.77 0.0 0.0 1 0.77
89.0 68.0 47 103 0 0 0.31 0.68 0.0 0.0 1 0.68
88.0 68.0 32 118 0 0 0.21 0.78 0.0 0.0 1 0.78
87.0 68.0 28 122 0 0 0.18 0.81 0.0 0.0 1 0.81
86.0 68.0 28 122 0 0 0.18 0.81 0.0 0.0 1 0.81
85.0 68.0 26 124 0 0 0.17 0.82 0.0 0.0 1 0.82
84.0 68.0 22 128 0 0 0.14 0.85 0.0 0.0 1 0.85
83.0 68.0 16 134 0 0 0.10 0.89 0.0 0.0 1 0.89
82.0 68.0 10 140 0 0 0.06 0.93 0.0 0.0 1 0.93
81.0 68.0 12 138 0 0 0.08 0.92 0.0 0.0 1 0.92
80.0 68.0 17 133 0 0 0.11 0.88 0.0 0.0 1 0.88
79.0 68.0 16 134 0 0 0.10 0.89 0.0 0.0 1 0.89
